inst_id,x,y,localidade,tipo,anos,n,taxa,p,significativo,bombeamento
0028-INA-060,655003.953000007,7767257.99399973,Alegria Centro,INA,10.0,1511,0.24414191324594509,5.542802186616195e-09,True,False
0029-INA-103,655936.356000009,7765431.60299973,Alegria Sul,INA,10.0,1992,0.2674285994295968,8.508698944072389e-07,True,False
0029-INA-035,655305.527000005,7767145.94099972,Alegria Sul,INA,10.0,1883,0.2885512387948187,3.641159388021239e-09,True,False
0029-INA-097,655652.949000006,7764342.33099973,Alegria Sul,INA,10.0,1700,0.3163328868829706,0.017727841717289264,True,False
0029-INA-154,656003.937000007,7765161.98299973,Alegria Sul,INA,8.0,1693,0.3295361085830545,4.895121053228374e-05,True,False
0029-INA-142,655616.825000004,7766933.20799974,Alegria Sul,INA,8.1,1872,0.36987951306129635,1.8758263876898396e-09,True,False
0028-INA-059,654905.492000006,7767858.84899974,Alegria Centro,INA,9.9,162,0.41429337829552926,5.183812479617317e-23,True,False
0029-INA-153,655278.330000009,7766097.48299974,Alegria Sul,INA,8.0,2043,0.4265664391225865,2.1019549823643728e-15,True,False
0029-INA-048,656006.879000007,7765823.72199973,Alegria Sul,INA,10.0,1637,0.44679730228881753,1.9379576687949226e-12,True,False
0029-INA-141,655244.979000001,7766703.14499973,Alegria Sul,INA,8.1,1977,0.45012616058048915,7.363849161712726e-16,True,False
0029-INA-140,655316.490000006,7767092.22199973,Alegria Sul,INA,8.0,1662,0.4755842204199768,1.8395720185064455e-14,True,False
0029-INA-120,655034.421000013,7765849.25899946,Alegria Sul,INA,9.9,1464,0.4886863764260459,9.117920183951917e-24,True,False
0029-INA-100,655470.222000008,7767110.50499973,Alegria Sul,INA,10.0,1718,0.5477264938239906,4.530512478781341e-09,True,False
0029-INA-078,655187.636999999,7767051.87099973,Alegria Sul,INA,10.0,1797,0.5647688077808353,1.677435553988399e-09,True,False
0029-INA-151,655283.894000008,7766476.40899974,Alegria Sul,INA,8.1,1799,0.586287710336599,2.4146216857120966e-20,True,False
0029-INA-024,655864.560000003,7766037.53599973,Alegria Sul,INA,10.0,1886,0.6044423340575739,1.1112382556839503e-20,True,False
0029-INA-138,655468.243000007,7766566.05399973,Alegria Sul,INA,8.1,1531,0.6558015087195481,4.427679129828269e-15,True,False
0029-INA-152,655678.42,7766248.83399974,Alegria Sul,INA,8.1,1873,0.716739856039427,3.3836237263649356e-20,True,False
0029-INA-084,655548.507000009,7766744.74099973,Alegria Sul,INA,10.0,1922,0.7601337788652646,5.73473479712709e-20,True,False
0029-INA-070,655773.482000007,7766509.34999973,Alegria Sul,INA,10.0,1879,0.8059724498156323,1.3844358827286064e-15,True,False
0029-INA-146,655219.687000004,7766958.88399973,Alegria Sul,INA,8.0,1747,0.8888833953742624,3.5202942191078506e-11,True,False
1226-INA-058,657667.985000014,7766094.46999947,Cava Germano,INA,9.9,1178,1.0019948307085038,3.593770945583791e-08,True,False
0029-INA-101,655470.222000008,7767110.50499973,Alegria Sul,INA,9.9,219,1.0181612090680254,5.807713139002124e-24,True,False
0029-INA-149,655199.58400001,7766905.47399973,Alegria Sul,INA,8.0,1728,1.1814135083173791,1.009095948658915e-12,True,False
0029-INA-104,655983.568000008,7765329.16199973,Alegria Sul,INA,9.9,1774,1.2594115360155351,1.3196747996075693e-34,True,False
0029-INA-128,656070.505000007,7765969.43899973,Alegria Sul,INA,9.8,223,1.3002819237147705,1.4014317232051934e-21,True,False
0029-INA-112,655061.832000003,7765624.30299973,Alegria Sul,INA,9.9,169,1.8112865782286436,5.503260618623504e-13,True,False
0029-PZ-108,654881.971000001,7764558.10799973,Alegria Sul,Piezometro,9.8,214,1.9585869565217315,8.251042065542226e-23,True,False
G00-11PTR005,655771.780000012,7766676.57999946,Alegria Sul,Poco Tubular,9.2,2821,5.248896883816819,8.658636500550184e-09,True,True
G00-11PTR006,656681.480000031,7769562.38999894,Alegria Norte,Poco Tubular,9.0,1743,7.643871974030267,3.2336148771061723e-13,True,True
