instrumento,inst_id,nome_original,natureza,situacao_cadastro,situacao_operacional,fonte_situacao_operacional,localidade,x,y,profundidade_m,data_corte,ptr_mais_proximo,dist_ptr_m,leituras,fonte_recente,modo_monitoramento,ultima,ultima_leitura_cota_m,dias_sem_leitura,cadencia_mediana_dias,limite_atualizacao_dias,recebimento,cota_atual_representativa_m,n_atual_validas,status_qaqc,motivos,sinais_qaqc,flatline_ativo,pos_flatline_pendente,salto_tipo,salto_data,variacao_ultima_m,ruido_recente,conflitos_temporais,conflito_recente,cota_referencia_12m_m,data_referencia_12m,delta_12m_m,classificacao_12m,cota_referencia_90d_m,data_referencia_90d,delta_90d_m,classificacao_90d,mediana_vizinhos_12m_m,diferenca_vizinhos_12m_m,mediana_vizinhos_90d_m,diferenca_vizinhos_90d_m
CTHTLCEPZ001,CTHTLCEPZ001,INA_CH_01 / 00CH-INA-001,INA,Ativo,Ativo,Coordenadas.xlsx,Conta Historia,654787.356000007,7761543.17699973,320.0,2026-08-27,G00-11PTR020,3265.6034890370543,0,Histórico,Histórico,,,,,120,SEM ATUALIZAÇÃO RECENTE,,0,Sem atualização recente,Sem atualização recente — Não há leitura atual dentro da cadência considerada.,,False,False,,,,,0,False,,,,Sem comparação disponível,,,,Sem comparação disponível,,,,
CTHTLCEPZ002,CTHTLCEPZ002,INA_CH_02 / 00CH-INA-002,INA,Ativo,Ativo,HGA do snapshot,Conta Historia,654313.500999999,7761542.74999973,204.0,2026-08-27,G00-11PTR020,3439.5594688752903,27,Manual,Manual,2021-05-27,1290.278,1918.0,15.5,62,SEM ATUALIZAÇÃO RECENTE,,0,Sem atualização recente,Sem atualização recente — Não há leitura atual dentro da cadência considerada.,,False,False,,,,,0,False,,,,Sem comparação disponível,,,,Sem comparação disponível,,,,
CTHTLCEPZ003,CTHTLCEPZ003,INA_CH_03 / 00CH-INA-003,INA,Ativo,Ativo,HGA do snapshot,Conta Historia,654700.732000009,7761698.13099973,283.0,2026-08-27,G00-11PTR020,3146.9136838677114,30,Manual,Manual,2021-05-27,1203.753,1918.0,15.5,62,SEM ATUALIZAÇÃO RECENTE,,0,Sem atualização recente,Sem atualização recente — Não há leitura atual dentro da cadência considerada.,,False,False,,,,,0,False,,,,Sem comparação disponível,,,,Sem comparação disponível,,,,
CTHTLCEPZ004,CTHTLCEPZ004,INA_CH_04 / 00CH-INA-004,INA,Ativo,Ativo,HGA do snapshot,Conta Historia,654572.90100001,7762142.86599973,258.9,2026-08-27,G00-11PTR020,2786.1920297722645,29,Manual,Manual,2020-11-23,1263.79,2103.0,15.5,62,SEM ATUALIZAÇÃO RECENTE,,0,Sem atualização recente,Sem atualização recente — Não há leitura atual dentro da cadência considerada.,,False,False,,,,,0,False,,,,Sem comparação disponível,,,,Sem comparação disponível,,,,
0027-INA-034,0027-INA-034,INA_N_34,INA,Ativo,Ativo,HGA do snapshot,Alegria Norte,656064.298000003,7769131.62099973,180.0,2026-08-27,G00-11PTR014,441.506049416701,1976,Automático,Automático,2026-08-27,926.872666666667,0.0,1.0,5,RECEBENDO,,7,Acompanhar,Acompanhar — A série voltou a variar recentemente e ainda aguarda leituras adicionais coerentes.,pos_flatline,False,True,,,,,0,False,927.326290565833,2025-08-23,,Sem comparação disponível,,,,Sem comparação disponível,,,,
0027-INA-042,0027-INA-042,INA_JM_42,INA,Ativo,Ativo,HGA do snapshot,Alegria Norte,657158.759000032,7768982.71499894,60.05,2026-08-27,G00-11PTR010,385.7452170429216,1825,Automático,Automático,2026-08-27,899.645042125,0.0,1.0,5,RECEBENDO,,7,Acompanhar,Acompanhar — A série voltou a variar recentemente e ainda aguarda leituras adicionais coerentes.,pos_flatline,False,True,patamar_confirmado,2026-08-22,0.5982891666659498,,0,False,899.504148083333,2025-08-25,,Sem comparação disponível,,,,Sem comparação disponível,,,,
0027-INA-054,0027-INA-054,INA_N_54,INA,Ativo,Ativo,HGA do snapshot,Alegria Norte,656354.42300001,7769471.13199973,206.0,2026-08-27,G00-11PTR014,249.41601360445148,2321,Automático,Automático,2026-08-27,919.676,0.0,1.0,5,RECEBENDO,,7,Acompanhar,Acompanhar — Leituras consecutivas permaneceram constantes por período prolongado.,flatline,True,False,,,,,0,False,922.438009875,2025-08-25,,Sem comparação disponível,,,,Sem comparação disponível,,,,
0027-INA-085,0027-INA-085,INA_N_85,INA,Ativo,Ativo,HGA do snapshot,Alegria Norte,656900.927000003,7769255.63699973,200.0,2026-08-27,G00-11PTR010,25.479394930798332,2003,Automático,Automático,2026-08-27,907.542368708333,0.0,1.0,5,RECEBENDO,,4,Acompanhar,Acompanhar — A série voltou a variar recentemente e ainda aguarda leituras adicionais coerentes.,pos_flatline,False,True,salto_isolado,2026-08-12,6.805728708332936,,0,False,909.340833458333,2025-08-25,,Sem comparação disponível,915.430265416667,2026-05-27,,Sem comparação disponível,,,,
0027-INA-107,0027-INA-107,INA_N_107,INA,Ativo,Ativo,HGA do snapshot,Alegria Norte,657117.26900001,7770146.74199974,200.0,2026-08-27,G00-11PTR019,316.47963834799293,1846,Automático,Automático,2026-08-27,924.322855525,0.0,1.0,5,RECEBENDO,924.31931025,7,Acompanhar,Acompanhar — Leitura recente distinta do comportamento habitual. A continuidade da série permitirá avaliar sua representatividade.,salto_isolado,False,False,salto_isolado,2026-08-09,-0.19274746666690135,,0,False,928.179556125,2025-08-25,-3.8602458750000324,Tendência de redução da cota,,,,Sem comparação disponível,,,,
0027-INA-136,0027-INA-136,INA_N_136,INA,Ativo,Ativo,HGA do snapshot,Alegria Norte,656702.40500001,7769021.24099973,69.7,2026-08-27,G00-11PTR009,36.659227062311025,2103,Automático,Automático,2026-08-27,912.413370791667,0.0,1.0,5,RECEBENDO,912.443287,7,Acompanhar,Acompanhar — Leitura recente distinta do comportamento habitual. A continuidade da série permitirá avaliar sua representatividade.,salto_isolado,False,False,salto_isolado,2026-08-12,1.3374950833330104,,0,False,914.332224583333,2025-08-25,-1.888937583332904,Tendência de redução da cota,912.936535416667,2026-05-27,-0.49324841666691555,Tendência de redução da cota,,,-0.11068754166700501,-0.38256087499991054
